,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Ticker
1192,2018-09-30,USD,30401000,60541000,30140000,30140000,-7269000,22704000,12904000,37670000,19000,-2522000,None,2522000,60541000,1025000,None,251000,-9146000,-287000,2522000,-8859000,-8781000,-7269000,-6373000,-8859000,QTWO
1193,2018-06-30,USD,29271000,58574000,29303000,29303000,-6675000,22906000,11756000,35946000,35000,-2213000,None,2213000,58574000,755000,None,368000,-8780000,-153000,2213000,-8627000,-8625000,-6675000,-6199000,-8627000,QTWO
1194,2018-03-31,USD,27831000,54808000,26977000,26977000,-5212000,21262000,11157000,33043000,-56000,-1222000,None,1222000,54808000,199000,None,2586000,-6235000,-187000,1222000,-6048000,-6072000,-5212000,-2427000,-6048000,QTWO
1195,2022-12-31,USD,481142000,1024574000,543432000,543432000,-218567000,421430000,274094000,699709000,17100000,None,None,None,1024574000,20281000,19200000,51000000,-220209000,9213000,0,-229438000,-185400000,-218567000,-167567000,-229422000,TWLO
1196,2022-09-30,USD,462075000,983030000,520955000,520955000,-456997000,464164000,284735000,919072000,16300000,None,None,None,983030000,-8374000,18400000,51700000,-478727000,3600000,-713000,-482347000,-530109000,-456997000,-405297000,-482327000,TWLO
1197,2022-06-30,USD,445289000,943354000,498065000,498065000,-311936000,477584000,279641000,757225000,15600000,-375000,None,375000,943354000,-8239000,17400000,52200000,-320175000,2594000,375000,-322769000,-355186000,-311936000,-267600000,-322769000,TWLO
1198,2022-03-31,USD,425071000,875363000,450292000,450292000,-217808000,402268000,240611000,642879000,15600000,-338000,None,338000,875363000,-6677000,16600000,51500000,-224527000,-2900000,338000,-221585000,-288470000,-217808000,-172689000,-221627000,TWLO
1199,2021-12-31,USD,396547000,842744000,446197000,446197000,-283626000,456924000,223249000,680173000,16200000,16860000,None,-16860000,842744000,-6126000,16400000,44111000,-289725000,1671000,-16860000,-291423000,-309132000,-283626000,-262474000,-291396000,TWLO
1200,2021-09-30,USD,364615000,740176000,375561000,375561000,-232345000,387070000,209890000,596960000,16200000,-10091000,None,10091000,740176000,-6613000,14500000,58605000,-238909000,-14800000,10091000,-224158000,-225221000,-232345000,-170213000,-224109000,TWLO
1201,2021-06-30,USD,331247000,668931000,337684000,337684000,-202274000,352241000,181280000,533521000,5600000,-9930000,None,9930000,668931000,-24293000,14200000,48204000,-226553000,1300000,9930000,-227853000,-231806000,-202274000,-168419000,-227853000,TWLO
1202,2021-03-31,USD,298304000,589988000,291684000,291684000,-197339000,320843000,174800000,495643000,3900000,-3636000,None,3636000,582386000,-8313000,14400000,47880000,-205642000,900000,11238000,-206542000,-210928000,-197339000,-154126000,-206542000,TWLO
1203,2020-12-31,USD,282121000,548090000,265969000,265969000,-185291000,308556000,158856000,467412000,8700000,-24034000,None,24034000,535190000,-9426000,14426000,40220000,-194698000,-15347000,36934000,-179351000,-180890000,-185291000,-130444000,-179351000,TWLO
1204,2020-09-30,USD,230874000,447969000,217095000,217095000,-112270000,206492000,136652000,343144000,7100000,-212000,None,212000,444769000,-3996000,12843000,22784000,-116314000,600000,3412000,-116866000,-119935000,-112270000,-93318000,-116914000,TWLO
1205,2020-06-30,USD,209131000,400849000,191718000,191718000,-102644000,191074000,120701000,311775000,7800000,-194000,None,194000,400849000,3015000,11912000,22430000,-99629000,294000,194000,-99923000,-82028000,-102644000,-77005000,-99923000,TWLO
1206,2020-03-31,USD,193535000,364868000,171333000,171333000,-92696000,171892000,114339000,286231000,8800000,-6720000,None,6720000,364868000,-1118000,11900000,22204000,-93814000,977000,6720000,-94791000,-104166000,-92696000,-64890000,-94791000,TWLO
1207,2019-12-31,USD,174690000,331224000,156534000,156534000,-93799000,158253000,110236000,268489000,9000000,-6203000,None,6203000,331224000,4708000,11100000,21798000,-89100000,1147000,6203000,-90247000,-89739000,-93799000,-61099000,-90247000,TWLO
1208,2019-09-30,USD,158162000,295066000,136904000,136904000,-94666000,148347000,104481000,252828000,7700000,-175000,None,175000,295066000,4377000,9700000,21610000,-90289000,-2555000,175000,-87734000,-86459000,-94666000,-68504000,-87734000,TWLO
1209,2019-06-30,USD,150015000,275039000,125024000,125024000,-93732000,144964000,98783000,243747000,2600000,-189000,None,189000,275039000,-880000,9100000,20826000,-94579000,-2000000,189000,-92579000,-91599000,-93732000,-73564000,-92579000,TWLO
1210,2019-03-31,USD,126050000,233139000,107089000,107089000,-87588000,135783000,77855000,213638000,1500000,-5841000,None,5841000,233139000,-636000,7600000,19124000,-88224000,-51721000,5841000,-36524000,-35462000,-87588000,-63259000,-36503000,TWLO
1211,2018-12-31,USD,108014000,204302000,96288000,96288000,-43987000,93249000,51631000,152001000,800000,-5679000,None,5679000,204302000,-2751000,5400000,2964000,-46738000,420000,5679000,-47158000,-47256000,-43987000,-38095000,-47158000,TWLO
1212,2018-09-30,USD,91864000,168895000,77031000,77031000,-25033000,74557000,42340000,116897000,800000,-5679000,None,5679000,168895000,-1939000,5000000,1900000,-26972000,84000,5679000,-27056000,-27638000,-25033000,-19393000,-27056000,TWLO
1213,2018-06-30,USD,79814000,147754000,67940000,67940000,-21958000,61961000,39811000,101772000,700000,None,None,2859000,147754000,-1898000,4300000,1400000,-23856000,150000,None,-24006000,-24483000,-21958000,-20558000,-24006000,TWLO
1214,2018-03-31,USD,69534000,129116000,59582000,59582000,-24257000,56215000,37576000,93791000,672000,None,None,2859000,129116000,665000,4200000,1400000,-23629000,100000,None,-23729000,-23315000,-24257000,-22857000,-23729000,TWLO
1215,2022-12-31,USD,569811000,927779000,357968000,357968000,167475000,279390000,105382000,406704000,None,-2684000,5018000,2684000,927779000,-1409000,None,17010000,168400000,39638000,2684000,569811000,223158000,171084000,188094000,128762000,AKAM
